Category,Key,Value,Extra,Comment
address,G44uF46UdEoc9nhzH34HMQhpTqPqeHPTUTdQ9B8ZGUJe,Airdrop recipient,,
address,J73QX9J46LoxmnwCNw5WStBDTyREyavnrwnswU9jndmH,Airdrop recipient,,
address,5ie45ecTQ14XXvmiKUrHkZCtuZVKn5QKmQjY8hmkxmbA,Airdrop recipient,,
address,7ef9DLTcXxtBe6f57TuuVgioT1jjS7zmCuYNoajR7rca,Airdrop recipient,,
address,Hgdcp19nyj2fE3PCUVnWMXGgqUHyjHmeuNQ5HDSHNpSH,Airdrop recipient,,
address,5X2hQkNjvV4gs1qwZSjn4myEYdJ2YdwRbUMXc1K2MZ6c,Airdrop recipient,,
address,4qeNfti5Rffp4PC3m8SURYNCy2wz7cFV7ofbSmxP2r3G,Airdrop recipient,,
address,FkWQ9Q9sxQAYJXGsQStkHvqCpbHCCrAHyjqRWSFbdaps,Airdrop recipient,,
address,Dr11WPjDZLQ6FmNZWu3yijumXCCgDKVKu32EK6vDrUq5,Airdrop recipient,,
address,4VYddPS98hYNCRYCVcP2AQ2XhEmaMnv7A8B1SpJt5Qgq,Airdrop recipient,,
address,5tzHP58z8VS4QXw8o5atUmszEeQGrApADuzjQeQVwZnX,Airdrop recipient,,
address,9t1XKafnKUkvNNgBqTWncTWcVxRKShRFVhJUZAmEuhqr,Airdrop recipient,,
address,4yif91Jdz4EGHQ47JxCH2Vfixk5M2L2QcjRuPMUvai7U,Airdrop recipient,,
address,8nRsbdeovrBrRXcieWsuDt3ZaBPqJ4bkxk2m7qShTwEs,Airdrop recipient,,
address,H86MCbC7PpAZvaE4JiXgYueBvifkU7S71ZuWUvXJvxk7,Airdrop recipient,,
address,Gu7WnxFg359LAWx8TcVHuZxDz1quxSvAczcSq35GTc3Y,Airdrop recipient,,
address,AJWV1QXKQX6e6t49rJwgKviD2dVZd8CNJLbrRjMKtQe8,Airdrop recipient,,
address,8zZ4ZWkiDZj3eB5E9eg2CaTQkQ7SKRS3MZWoZddZy6c9,Airdrop recipient,,
address,6pcEtCGLbS5Ey11mcQDKJKge7dTR99r2cGr7eL88ptpy,Airdrop recipient,,
address,BqNh9aVn8Hn2o6uyRghsH9QnHB9MaFGQCfVhm9fJBXKb,Airdrop recipient,,
address,8PfMpiw8PNfygYvHD8F7Gt93MUBa1AhauMFkn8Kmev6b,Airdrop recipient,,
address,FbFiDHHePXXrak7dk2vrDxGAVURbxX58Yx3A1621WW3i,Airdrop recipient,,
address,9qCinsk7u11qatge4qH8jeh7zcntchCrScxy2BCZmzNG,Airdrop recipient,,
address,3EbsGDitFHc5LtMALAHYnpjYu4S6gEuegeATLRQwFjxY,Airdrop recipient,,
address,7RzoHhz2BTPKCF41diuzNUGwimkF8EukAoR6y2nHdSz5,Airdrop recipient,,
address,7eX5ahHy6pk7UjPJLJRhzRgsUj9V5N4M1YAaZGehMVFJ,Airdrop recipient,,
address,8vvBNndv9ucELifHJNTKhEyp5q1dJBE7LAy3WryEdMxD,Airdrop recipient,,
address,59JxXJeFFAbpGy6zRhgfwESJBk5rWoFd1myioxwDGj43,Airdrop recipient,,
address,HYBdaE8gmNukcPkHM1qwZg6SNwGKi5MNpPNnBA9g8xHg,Airdrop recipient,,
address,BkDNuULitEmESp4jUy58gp7HoxdnWPG2jtQ2YgsAso8V,Airdrop recipient,,
address,29baTfeTnaT2mKGjw8Hg684EVWGM4cSTYog7dftuvyqS,Airdrop recipient,,
address,DwHZNydGAipqfvTHA6tnW58KWh729XX2KCWK5NbW7Lwh,Airdrop recipient,,
address,5fajJJdLZH2R6kZd34G83tZJgNy28mfqoj8GdsFECvP3,Airdrop recipient,,
address,8E5QfmpNUVPbRwotB3vt9bRcsn7bpcbqJ9QzJUuVgLdv,Airdrop recipient,,
